"subnum" "trial" "step" "startx" "starty" "xtrans" "ytrans" "label" "targx" "targy" "dist" "timeout" "hit" "rt"
111 6 30 1097 624 1 -1 "MODIFIED6" 1246 735 185.801 2000 1 1342
111 7 1 973 990 1 -1 "MODIFIED7" 1191 349 677.056 2000 1 914
111 7 2 1189 748 1 -1 "MODIFIED7" 1279 635 144.461 2000 1 841
111 7 3 1280 437 1 -1 "MODIFIED7" 997 534 299.162 2000 1 1011
111 7 4 1003 533 1 -1 "MODIFIED7" 1262 393 294.416 2000 1 1361
111 7 5 1264 669 1 -1 "MODIFIED7" 1027 580 253.16 2000 1 1111
111 7 6 1026 505 1 -1 "MODIFIED7" 930 296 229.993 2000 1 621
111 7 7 932 772 1 -1 "MODIFIED7" 986 591 188.884 2000 1 811
111 7 8 977 498 1 -1 "MODIFIED7" 1009 292 208.471 2000 1 751
111 7 9 1016 800 1 -1 "MODIFIED7" 1202 521 335.316 2000 1 881
111 7 10 1207 572 1 -1 "MODIFIED7" 1320 246 345.029 2000 1 1282
111 7 11 1315 816 1 -1 "MODIFIED7" 1197 519 319.583 2000 1 1381
111 7 12 1207 572 1 -1 "MODIFIED7" 1059 253 351.66 2000 1 1042
111 7 13 1058 827 1 -1 "MODIFIED7" 986 544 292.015 2000 1 1121
111 7 14 971 543 1 -1 "MODIFIED7" 754 354 287.767 2000 1 981
111 7 15 754 739 1 -1 "MODIFIED7" 1043 274 547.491 2000 1 1181
111 7 16 1052 789 1 -1 "MODIFIED7" 1291 444 419.698 2000 1 1221
111 7 17 1292 652 1 -1 "MODIFIED7" 1079 656 213.038 2000 1 1291
111 7 18 1081 440 1 -1 "MODIFIED7" 779 640 362.221 2000 1 901
111 7 19 762 448 1 -1 "MODIFIED7" 752 342 106.471 2000 1 841
111 7 20 758 721 1 -1 "MODIFIED7" 971 547 275.036 2000 1 875
111 7 21 966 516 1 -1 "MODIFIED7" 1220 714 322.056 2000 1 931
111 7 22 1220 385 1 -1 "MODIFIED7" 987 525 271.825 2000 1 911
111 7 23 979 539 1 -1 "MODIFIED7" 1199 313 315.398 2000 1 1041
111 7 24 1199 769 1 -1 "MODIFIED7" 908 243 601.13 2000 1 1191
111 7 25 910 820 1 -1 "MODIFIED7" 1117 458 417.005 2000 1 1001
111 7 26 1115 640 1 -1 "MODIFIED7" 980 724 159 2000 1 1482
111 7 27 997 360 1 -1 "MODIFIED7" 682 761 509.927 2000 1 891
111 7 28 669 320 1 -1 "MODIFIED7" 648 463 144.534 2000 1 1702
111 7 29 635 612 1 -1 "MODIFIED7" 910 609 275.016 2000 1 694
111 7 30 908 481 1 -1 "MODIFIED7" 1168 762 382.833 2000 1 1561
111 8 1 978 973 1 -1 "MODIFIED8" 761 314 693.808 2000 1 925
111 8 2 748 775 1 -1 "MODIFIED8" 659 597 199.01 2000 1 1381
111 8 3 665 499 1 -1 "MODIFIED8" 932 723 348.518 2000 1 1411
111 8 4 948 361 1 -1 "MODIFIED8" 777 466 200.664 2000 1 1381
111 8 5 792 623 1 -1 "MODIFIED8" 708 758 159 2000 1 1423
111 8 6 694 336 1 -1 "MODIFIED8" 1007 742 512.645 2000 1 1061
111 8 7 1005 356 1 -1 "MODIFIED8" 805 520 258.643 2000 1 1311
111 8 8 800 541 1 -1 "MODIFIED8" 773 819 279.308 2000 1 1211
111 8 9 788 273 1 -1 "MODIFIED8" 1031 666 462.058 2000 1 861
111 8 10 1048 407 1 -1 "MODIFIED8" 1319 583 323.136 2000 1 1022
111 8 11 1311 486 1 -1 "MODIFIED8" 1020 571 303.16 2000 1 1001
111 8 12 1026 492 1 -1 "MODIFIED8" 1129 292 224.964 2000 1 1251
111 8 13 1128 771 1 -1 "MODIFIED8" 833 343 519.816 2000 1 1464
111 8 14 822 739 1 -1 "MODIFIED8" 624 558 268.263 2000 1 1801
111 8 15 634 538 1 -1 "MODIFIED8" 845 762 307.729 2000 1 1313
111 8 16 861 318 1 -1 "MODIFIED8" 1129 667 440.028 2000 1 941
111 8 17 1144 403 1 -1 "MODIFIED8" 975 409 169.106 2000 1 721
111 8 18 993 671 1 -1 "MODIFIED8" 1269 351 422.583 2000 1 931
