function_name,function_type,library,namespace,parameters,in_reference,in_source,status,Action,sphinx_implemented
Openjoystick,COMPILED,,PEBLEnvironment,1 args,YES,NO,OBSOLETE_OR_MISSING,COMPLETE,peblenvironment.rst (stub)
Opennetworklistener,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Openpport,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Opensubmenus,PEBL_FUNCTION,UI.pbl,,"obj, xy, extra:0",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
Order,PEBL_FUNCTION,Math.pbl,,list,YES,NO,PEBL_DOCUMENTED,COMPLETE,math.rst (full)
Ot,PEBL_FUNCTION,HTML.pbl,,tag,YES,NO,PEBL_DOCUMENTED,COMPLETE,html.rst (stub)
P,PEBL_FUNCTION,HTML.pbl,,text,YES,NO,PEBL_DOCUMENTED,COMPLETE,html.rst (stub)
Page,PEBL_FUNCTION,HTML.pbl,,"text, style:0",NO,NO,PEBL_UNDOCUMENTED,COMPLETE,html.rst (stub)
Parsejson,COMPILED,,PEBLStream,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblstream.rst (full)
Pastetextbox,PEBL_FUNCTION,UI.pbl,,"menu, xy, box",YES,NO,PEBL_UNDOCUMENTED,COMPLETE,ui.rst (stub)
Pauseplayback,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Playbackground,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Playforeground,COMPILED,,PEBLObjects,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Playmovie,COMPILED,,PEBLEnvironment,1 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblenvironment.rst (full)
Plus,PEBL_FUNCTION,Graphics.pbl,,"x, y, size, width, color",YES,NO,PEBL_DOCUMENTED,COMPLETE,graphics.rst (full)
Polygon,COMPILED,,PEBLObjects,6 args,YES,YES,COMPILED_DOCUMENTED,COMPLETE,peblobjects.rst (full)
Popupentrybox,PEBL_FUNCTION,UI.pbl,,"text, win, xy, default:"""", width:300, height:100",YES,NO,PEBL_DOCUMENTED,COMPLETE,ui.rst (full)
